Trial ,Batch,Author,Year,Mean Age,Age Group,Paradigm,General Paradigm,General Paradigm 2,Stimuli Modality,Stimuli Domain,Pattern Type,Pattern Range,Test SL,General Test SL,SL Test Measure,Language Aspect,Language Test,Language Test Category,Language Test Category 2,Language Test Category 3,Language Related Disorder,Disorder Population,Sample Size,ES,SE,Fisher's Z,Fisher's SE
11,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Shipley Institute of Living Scale Vocabulary Subtest,Vocabulary,Vocabulary,Vocabulary,TD,TD,30,0.26,0.176207037,0.266108407,0.19245009
12,Original,Mcdonough and Trofimovich (2016),2016,"19,200",Adults,Pair learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Esperanto transitive sentences ,Syntax,Syntax,Comprehension,TD,TD,47,0.51,0.11029778,0.562729769,0.150755672
13,Original,Mcdonough and Trofimovich (2016),2016,"19,400",Adults,Pair learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Double-object datives,Comprehension,Comprehension,Comprehension,TD,TD,58,0.35,0.11726087,0.365443754,0.134839973
14,Original,Mcdonough and Trofimovich (2016),2016,"18,600",Adults,Pair learning ,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Double-object datives,Comprehension,Comprehension,Comprehension,TD,TD,35,0.05,0.173642462,0.050041729,0.176776695
15,Original,Misyak et al. (2010a),2010,"19,800",Adults,AGL,AGL,AGL,Auditory/Visual,Linguistic,Duplet,Non-adjacent,SRT,Reaction time,Processing based,Processing,Subject relative sentence processing,Comprehension,Comprehension,Comprehension,TD,TD,50,0.3,0.131347186,0.309519604,0.145864992
16,Original,Misyak et al. (2010a),2010,"19,800",Adults,AGL,AGL,AGL,Auditory/Visual,Linguistic,Duplet,Non-adjacent,SRT,Reaction time,Processing based,Processing,Object relative sentence processing,Comprehension,Comprehension,Comprehension,TD,TD,50,0.34,0.127652145,0.354092529,0.145864992
17,Original,Misyak et al. (2010b),2010,"20,600",Adults,AGL,AGL,AGL,Auditory/Visual,Linguistic,Duplet,Non-adjacent,SRT,Reaction time,Processing based,Processing,Subject relative sentence processing,Comprehension,Comprehension,Comprehension,TD,TD,30,0.1,0.187092414,0.100335348,0.19245009
18,Original,Misyak et al. (2010b),2010,"20,600",Adults,AGL,AGL,AGL,Auditory/Visual,Linguistic,Duplet,Non-adjacent,SRT,Reaction time,Processing based,Processing,Object relative sentence processing,Comprehension,Comprehension,Comprehension,TD,TD,30,0.59,0.12319752,0.677666068,0.19245009
19,Original,Parks et al. (2020),2020,"18,180",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 5 - Receptive,Comprehension,Comprehension,Comprehension,TD,TD,95,0.08,0.10303152,0.080171325,0.104257207
20,Original,Parks et al. (2020),2020,"18,180",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 5 - Expressive,Comprehension,Comprehension,Comprehension,TD,TD,95,0.1,0.102658218,0.100335348,0.104257207
21,Original,Parks et al. (2020),2020,"18,180",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC/4AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 5 - Receptive,Comprehension,Comprehension,Comprehension,TD,TD,95,0.31,0.093730064,0.320545409,0.104257207
22,Original,Parks et al. (2020),2020,"18,180",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC/4AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 5 - Expressive,Comprehension,Comprehension,Comprehension,TD,TD,95,0.14,0.101662744,0.140925576,0.104257207
23,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Woodcock Reading Mastery Tests - Word Identification,Reading,Reading,Literacy,DD/Control,Mixed,32,0.193,0.17577348,0.195451377,0.185695338
24,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Woodcock Reading Mastery Tests - Word Attack,Reading,Reading,Literacy,DD/Control,Mixed,32,0.42,0.1503681,0.447692024,0.185695338
25,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Test of Word Reading Efficiency - Sight Word Efficiency,Reading,Reading,Literacy,DD/Control,Mixed,32,0.37,0.15757978,0.3884231,0.185695338
26,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Test of Word Reading Efficiency - Phonemic Decoding Efficiency,Reading,Reading,Literacy,DD/Control,Mixed,32,0.511,0.134900232,0.564082236,0.185695338
27,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.221,0.17365708,0.224707214,0.185695338
28,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.439,0.147388306,0.470991401,0.185695338
29,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.394,0.1542321,0.416526303,0.185695338
30,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.324,0.163408278,0.33610983,0.185695338
31,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Spoonerism Test,Phonology,Phonology,Phonology,DD/Control,Mixed,32,-0.285,0.167744598,-0.293115727,0.185695338
32,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Spoonerism Test,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.34,0.16146861,0.354092529,0.185695338
33,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Woodcock Reading Mastery Tests–Revised Word Identification subtest,Reading,Reading,Literacy,DD/Control,Mixed,32,0.281,0.168157946,0.288767472,0.185695338
34,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Woodcock Reading Mastery Tests–Revised Word Attack subtest,Reading,Reading,Literacy,DD/Control,Mixed,32,0.243,0.171793363,0.247959919,0.185695338
35,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Test of Word Reading Efficiency Sight Word Efficiency subtest,Reading,Reading,Literacy,DD/Control,Mixed,32,0.355,0.159565274,0.371153208,0.185695338
36,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Test of Word Reading Efficiency Phonemic Decoding Efficiency subtest,Reading,Reading,Literacy,DD/Control,Mixed,32,0.306,0.165478669,0.316126175,0.185695338
37,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.397,0.153798851,0.420082581,0.185695338
38,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.345,0.160843293,0.359757028,0.185695338
39,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.358,0.159174748,0.374590002,0.185695338
40,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Rapid automatized naming task,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.306,0.165478669,0.316126175,0.185695338
41,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Spoonerism Test,Phonology,Phonology,Phonology,DD/Control,Mixed,32,-0.166,0.177543172,-0.167550482,0.185695338
42,Original,Gabay et al. (2015),2015,"21,840",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Spoonerism Test,Phonology,Phonology,Phonology,DD/Control,Mixed,32,0.054,0.1820418,0.05405258,0.185695338
43,Original,Evans et al. (2009),2009,"7,910",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - III,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,75,0.33,0.104295366,0.342828254,0.11785113
44,Original,Evans et al. (2009),2009,"7,910",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Expressive Vocabulary Test,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,75,0.39,0.099239189,0.411800035,0.11785113
45,Original,Evans et al. (2009),2009,"9,580",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - III,Receptive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,35,0.02,0.174008025,0.020002667,0.176776695
46,Original,Evans et al. (2009),2009,"9,580",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Expressive Vocabulary Test,Expressive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,35,-0.16,0.169621268,-0.161386696,0.176776695
47,Original,Evans et al. (2009),2009,"9,250",Children,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - III,Receptive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,15,0.52,0.202354632,0.576339755,0.288675135
48,Original,Evans et al. (2009),2009,"9,260",Children,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Expressive Vocabulary Test,Expressive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,15,-0.07,0.275991083,-0.070114671,0.288675135
49,Original,Haebig et al. (2017),2017,"10,380",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,26,-0.072,0.203065966,-0.072124804,0.208514414
50,Original,Haebig et al. (2017),2017,"10,380",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,TD,TD,26,-0.172,0.198085337,-0.173726908,0.208514414
51,Original,Haebig et al. (2017),2017,"10,130",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,ASD,Clinical,25,0.469,0.162649375,0.508787578,0.213200716
52,Original,Haebig et al. (2017),2017,"10,130",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,ASD,Clinical,25,0.466,0.163234258,0.504948522,0.213200716
53,Original,Haebig et al. (2017),2017,"10,280",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,23,0.17,0.211911393,0.171666664,0.223606798
54,Original,Haebig et al. (2017),2017,"10,280",Children,Duplet learning,TP Learning,TP Learning,Auditory,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,SLI,Clinical,23,0.165,0.212276908,0.166522321,0.223606798
55,Original,Haebig et al. (2017),2017,"10,380",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,26,0.36,0.177669656,0.376885901,0.208514414
56,Original,Haebig et al. (2017),2017,"10,380",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,TD,TD,26,0.016,0.20407189,0.016001366,0.208514414
57,Original,Haebig et al. (2017),2017,"10,130",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,ASD,Clinical,25,0.566,0.14171557,0.641617671,0.213200716
58,Original,Haebig et al. (2017),2017,"10,130",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,ASD,Clinical,25,0.507,0.154915992,0.558683512,0.213200716
59,Original,Haebig et al. (2017),2017,"10,280",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,23,0.229,0.206774326,0.233133868,0.223606798
60,Original,Haebig et al. (2017),2017,"10,280",Children,Fast mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,SLI,Clinical,23,0.159,0.212701124,0.160360592,0.223606798
61,Original,Haebig et al. (2017),2017,"10,380",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,26,0.172,0.198085337,0.173726908,0.208514414
62,Original,Haebig et al. (2017),2017,"10,380",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,TD,TD,26,0.219,0.194334147,0.22260549,0.208514414
63,Original,Haebig et al. (2017),2017,"10,130",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,ASD,Clinical,25,0.541,0.147486207,0.605568313,0.213200716
64,Original,Haebig et al. (2017),2017,"10,130",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,ASD,Clinical,25,0.581,0.13812808,0.663970959,0.213200716
65,Original,Haebig et al. (2017),2017,"10,280",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,23,0.365,0.189145812,0.382642354,0.223606798
66,Original,Haebig et al. (2017),2017,"10,280",Children,Meaning to sound mapping,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Comprehension,Comprehension,Comprehension,SLI,Clinical,23,0.113,0.215431466,0.113484685,0.223606798
67,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Morphological Comprehension (TOLD-P-MC),Syntax,Syntax,Comprehension,TD,TD,553,0,0.042601432,0,0.042640143
68,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Picture vocabulary (TOLDP-PV),Receptive Vocabulary,Vocabulary,Vocabulary,TD,TD,553,-0.01,0.042597172,-0.010000333,0.042640143
69,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Relational vocabulary (TOLDP-RV),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,553,0.04,0.04253327,0.040021354,0.042640143
70,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Syntactic understanding (TOLDP-SU),Comprehension,Comprehension,Comprehension,TD,TD,553,-0.1,0.042175418,-0.100335348,0.042640143
71,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Expressive one-word picture vocabulary test (EOWPVT),Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,553,0.08,0.042328783,0.080171325,0.042640143
72,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Receptive one-word picture vocabulary test (ROWPVT),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,553,0.1,0.042175418,0.100335348,0.042640143
73,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Comprehensive test of phonological processing—elision (CTOPP-E),Phonology,Phonology,Phonology,TD,TD,553,0.02,0.042584392,0.020002667,0.042640143
74,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Comprehensive test of phonological processing—blending words (CTOPP-BW),Phonology,Phonology,Phonology,TD,TD,553,0.07,0.042392685,0.070114671,0.042640143
75,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Comprehensive test of phonological processing—blending nonwords (CTOPP-BNW),Phonology,Phonology,Phonology,TD,TD,553,-0.2,0.040897375,-0.202732554,0.042640143
76,Original,Spencer et al. (2015),2015,"6,600",Children,Word segementation,TP Learning,TP Learning,Auditory,Linguistic,Duplet/triplet,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Nonword repetition (CTOPP-MFD),Phonology,Phonology,Phonology,TD,TD,553,0.13,0.041881468,0.13073985,0.042640143
77,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Morphological Comprehension (TOLD-P-MC),Syntax,Syntax,Comprehension,TD,TD,553,-0.03,0.042563091,-0.030009005,0.042640143
78,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Picture vocabulary (TOLDP-PV),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,553,-0.03,0.042563091,-0.030009005,0.042640143
79,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Relational vocabulary (TOLDP-RV),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,553,-0.06,0.042448067,-0.060072156,0.042640143
80,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Syntactic understanding (TOLDP-SU),Comprehension,Comprehension,Comprehension,TD,TD,553,0.17,0.041370251,0.171666664,0.042640143
81,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Expressive one-word picture vocabulary test (EOWPVT),Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,553,0,0.042601432,0,0.042640143
82,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Receptive one-word picture vocabulary test (ROWPVT),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,553,-0.03,0.042563091,-0.030009005,0.042640143
83,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Comprehensive test of phonological processing—elision (CTOPP-E),Phonology,Phonology,Phonology,TD,TD,553,0.05,0.042494929,0.050041729,0.042640143
84,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Comprehensive test of phonological processing—blending words (CTOPP-BW),Phonology,Phonology,Phonology,TD,TD,553,-0.08,0.042328783,-0.080171325,0.042640143
85,Original,Spencer et al. (2015),2015,"6,600",Children,Simon task,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Comprehensive test of phonological processing—blending nonwords (CTOPP-BNW),Phonology,Phonology,Phonology,TD,TD,553,0.11,0.042085955,0.110446916,0.042640143
